E/Trace   ( 1027): error opening trace file: No such file or directory (2)
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e70726f7669646572732e63616c656e64617200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1639805772" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3730322f636d646c696e65", "id": "913912105" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e636f6e74616374730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "913912105" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3739332f636d646c696e65", "id": "38428924" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "616e64726f69642e70726f636573732e6d6564696100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "38428924" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3832322f636d646c696e65", "id": "516688628" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e646566636f6e7461696e657200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "516688628" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3834302f636d646c696e65", "id": "835394939" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e656d61696c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "835394939" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3835372f636d646c696e65", "id": "299308300" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e65786368616e67650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "299308300" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3837332f636d646c696e65", "id": "297236007" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e67616c6c657279336400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "297236007" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3839382f636d646c696e65", "id": "1652105797" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6d6d7300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1652105797" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3932352f636d646c696e65", "id": "276957089" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e766f6963656469616c65720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "276957089" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3935382f636d646c696e65", "id": "1554389811" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e717569636b736561726368626f780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1554389811" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3937322f636d646c696e65", "id": "1309100067" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6d757369636678000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1309100067" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3938362f636d646c696e65", "id": "825039919" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e73766f782e7069636f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "825039919" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f313030352f636d646c696e65", "id": "1641332966" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e636f6d6d616e64732e6d6f6e6b657900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1641332966" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f313030362f636d646c696e65", "id": "80863565" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "6c6f676361740044726f6964426f783a570064616c76696b766d3a570041637469766974794d616e616765723a49000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "80863565" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f313030382f636d646c696e65", "id": "1554202344" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f7368002d63007368202e2f7364636172642f65786563757465537472616365496e2e736800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1554202344" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f313031302f636d646c696e65", "id": "866499333" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "7368002e2f7364636172642f65786563757465537472616365496e2e736800786563757465537472616365496e2e736800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "866499333" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f313031312f636d646c696e65", "id": "83932646" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "737472616365002d70003631002d66002d747446002d6f002f7364636172642f303532623063363235616636626534666632366237666661366333326339613231663263633330376238316131316262383662623537323163356535373261392e61706b", "id": "83932646" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f313032372f636d646c696e65", "id": "1025410301" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e636f6e766572746f6d616e2e70726f696e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031316262383662623537323163356535373261392e61706b", "id": "1025410301" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
I/Process (  233): Sending signal. PID: 558 SIG: 3
W/ActivityManager(  233): Launch timeout has expired, giving up wake lock!
I/Process (  233): Sending signal. PID: 793 SIG: 3
E/ActivityManager(  233): ANR in com.convertoman.proin (com.convertoman.proin/.ProinActivity)
E/ActivityManager(  233): Reason: keyDispatchingTimedOut
E/ActivityManager(  233): Load: 12.79 / 3.46 / 1.18
E/ActivityManager(  233): CPU usage from 1410ms to -3852ms ago:
E/ActivityManager(  233):   37% 233/system_server: 29% user + 7.9% kernel / faults: 739 minor 2 major
E/ActivityManager(  233):   20% 558/android.process.acore: 18% user + 2% kernel / faults: 281 minor
E/ActivityManager(  233):   15% 63/mediaserver: 2.4% user + 12% kernel / faults: 2 minor
E/ActivityManager(  233):   9.8% 1011/strace: 2.6% user + 7.2% kernel
E/ActivityManager(  233):   4.7% 69/adbd: 0.3% user + 4.3% kernel / faults: 704 minor
E/ActivityManager(  233):   3.4% 793/android.process.media: 1.9% user + 1.5% kernel / faults: 325 minor
E/ActivityManager(  233):   2.8% 1006/logcat: 1.3% user + 1.5% kernel
E/ActivityManager(  233):   1.5% 512/com.android.phone: 0.3% user + 1.1% kernel / faults: 152 minor
E/ActivityManager(  233):   1.1% 1027/com.convertoman.proin: 0.1% user + 0.9% kernel / faults: 115 minor 1 major
E/ActivityManager(  233):   0.3% 433/com.android.systemui: 0.1% user + 0.1% kernel / faults: 83 minor
E/ActivityManager(  233):   0.5% 40/jbd2/mtdblock1-: 0% user + 0.5% kernel
E/ActivityManager(  233):   0.5% 70/kworker/0:2: 0% user + 0.5% kernel
E/ActivityManager(  233):   0.2% 672/com.android.providers.calendar: 0.2% user + 0% kernel / faults: 49 minor
E/ActivityManager(  233):   0.5% 702/com.android.contacts: 0.5% user + 0% kernel / faults: 50 minor
E/ActivityManager(  233):   0.1% 26/mtdblock1: 0% user + 0.1% kernel
E/ActivityManager(  233):   0.1% 57/netd: 0.1% user + 0% kernel
E/ActivityManager(  233):   0% 857/com.android.exchange: 0% user + 0% kernel / faults: 42 minor
E/ActivityManager(  233): 100% TOTAL: 59% user + 39% kernel + 0.1% softirq
E/ActivityManager(  233): CPU usage from 2938ms to 3498ms later:
E/ActivityManager(  233):   53% 558/android.process.acore: 44% user + 8.9% kernel / faults: 45 minor
E/ActivityManager(  233):     44% 650/ContactsProvide: 37% user + 7.1% kernel
E/ActivityManager(  233):     8.9% 562/GC: 7.1% user + 1.7% kernel
E/ActivityManager(  233):   32% 63/mediaserver: 3.5% user + 28% kernel / faults: 1 minor
E/ActivityManager(  233):     17% 350/Binder_2: 3.5% user + 14% kernel
E/ActivityManager(  233):     12% 118/Binder_1: 1.7% user + 10% kernel
E/ActivityManager(  233):     1.7% 63/mediaserver: 0% user + 1.7% kernel
E/ActivityManager(  233):   10% 233/system_server: 3.5% user + 7.1% kernel
E/ActivityManager(  233):     10% 344/InputDispatcher: 1.7% user + 8.9% kernel
E/ActivityManager(  233):   1.7% 69/adbd: 0% user + 1.7% kernel / faults: 8 minor
E/ActivityManager(  233):     1.7% 69/adbd: 0% user + 1.7% kernel
E/ActivityManager(  233):   0.8% 793/android.process.media: 0% user + 0.8% kernel / faults: 35 minor
E/ActivityManager(  233):     0.8% 896/MediaScannerSer: 0% user + 0.8% kernel
E/ActivityManager(  233): 100% TOTAL: 56% user + 43% kernel
W/InputManager(  233): Input event injection from pid 1005 timed out.
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f646174612f616e722f7472616365732e747874", "id": "657751716" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "0a0a2d2d2d2d2d207069642032333320617420323032352d30322d32312031353a33343a3239202d2d2d2d2d0a436d64206c696e653a2073797374656d5f7365727665720a0a44414c56494b20544852454144533a0a286d7574657865733a20746c6c3d", "id": "657751716" } }
I/dalvikvm-heap(  233): Grow heap (frag case) to 12.252MB for 349536-byte allocation
I/dalvikvm-heap(  233): Grow heap (frag case) to 12.335MB for 262160-byte allocation
E/WVMExtractor(   63): Failed to open libwvm.so
I/dalvikvm-heap(  233): Grow heap (frag case) to 12.709MB for 393236-byte allocation
I/dalvikvm-heap(  233): Grow heap (frag case) to 12.709MB for 262190-byte allocation
W/ActivityManager(  233): Activity idle timeout for ActivityRecord{b40999c0 com.convertoman.proin/.ProinActivity}
I/ContactsDatabaseHelper(  558): Locale change completed in 5507ms
W/dalvikvm(  558): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e70726f7669646572732e636f6e74616374732f7368617265645f70726566732f636f6d2e616e64726f69642e70726f7669646572732e636f6e74616374735f707265666572656e6365732e786d6c", "id": "1455510537" } }
W/DroidBox(  558): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d226c6f63616c65223e656e5f55533c2f737472696e673e0a", "id": "1455510537" } }
I/ContactsProvider(  558): Upgrading aggregation algorithm
I/ContactAggregator(  558): Marked all visible contacts for aggregation: 0 raw contacts, 4 ms
I/ContactsProvider(  558): Aggregation algorithm upgraded for 0 raw contacts in 83ms
I/ContactsFTS(  558): Rebuild contact search index in 110ms, 0 contacts
E/WVMExtractor(   63): Failed to open libwvm.so
I/Email   (  840): Onetime initialization: completed.
W/dalvikvm(  840): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e656d61696c2f7368617265645f70726566732f416e64726f69644d61696c2e4d61696e2e786d6c", "id": "1661315605" } }
W/DroidBox(  840): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d226f6e6554696d65496e697469616c697a6174696f6e50726f6772", "id": "1661315605" } }
D/ExchangeService(  857): !!! EAS ExchangeService, onStartCommand, startingUp = false, running = false
D/ExchangeService(  857): Reconciling accounts...
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm(  972): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e6d7573696366782f7368617265645f70726566732f6d7573696366782e786d6c", "id": "968674446" } }
W/DroidBox(  972): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d2264656661756c7470616e656c7061636b616765223e636f", "id": "968674446" } }
I/ActivityManager(  233): No longer want com.android.provision (pid 588): hidden #16
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b343930375d", "id": "363438367" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "20205049442020202020205673732020202020205273732020202020205073732020202020205573732020636d646c696e650a202036323620202035393732384b20202035393632304b20202032363135304b20202032313837364b2020636f6d2e616e", "id": "363438367" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b343930375d", "id": "796342205" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "796342205" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
I/InputReader(  233): Reconfiguring input devices.  changes=0x00000010
D/PackageManager(  233): generateServicesMap(android.accounts.AccountAuthenticator): 2 services unchanged
D/PackageManager(  233): generateServicesMap(android.content.SyncAdapter): 4 services unchanged
I/AccountTypeManager(  702): Loaded meta-data for 1 account types, 0 accounts in 11ms(wall) 0ms(cpu)
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "1364114508" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "0a0a2d2d2d2d2d207069642032333320617420323032352d30322d32312031353a33343a3239202d2d2d2d2d0a436d64206c696e653a2073797374656d5f7365727665720a0a44414c56494b20544852454144533a0a286d7574657865733a20746c6c3d", "id": "1364114508" } }
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "1196335669" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "20202330372020706320303030313264623020202f73797374656d2f6c69622f6c6962632e736f20285f5f7468726561645f656e7472792b3438290a20202330382020706320303030313235313420202f73797374656d2f6c69622f6c6962632e736f20", "id": "1196335669" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/BackupManagerService(  233): dataChanged but no participant pkg='com.android.providers.settings' uid=10011
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "1436327733" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "41544956450a20207c2067726f75703d226d61696e222073436f756e743d31206473436f756e743d30206f626a3d307862343261656238382073656c663d307862383066393434300a20207c207379735469643d353731206e6963653d30207363686564", "id": "1436327733" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/MetadataRetrieverClient(   63): failed to extract an album art
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "58255083" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "6c6962632e736f2028707468726561645f6372656174652b313732290a2020617420616e64726f69642e6f732e4d65737361676551756575652e6e6174697665506f6c6c4f6e6365284e6174697665204d6574686f64290a2020617420616e64726f6964", "id": "58255083" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "833698601" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "20696e74292b3232290a20202330342020706320303030316630623020202f73797374656d2f6c69622f6c696264766d2e736f202864766d506c6174666f726d496e766f6b652b313132290a20202330352020706320303030353131323120202f737973", "id": "833698601" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "834365798" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "303030313437353120202f73797374656d2f6c69622f6c69627574696c732e736f2028616e64726f69643a3a4c6f6f7065723a3a706f6c6c496e6e657228696e74292b3936290a20202330322020706320303030313439616420202f73797374656d2f6c", "id": "834365798" } }
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "1153381401" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "2073436f756e743d31206473436f756e743d30206f626a3d307862343263343961302073656c663d307862383034363435300a20207c207379735469643d333636206e6963653d302073636865643d302f3020636772703d617070732068616e646c653d", "id": "1153381401" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "1549283918" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "7374656d2f6c69622f6c696264766d2e736f202864766d496e74657270726574506f727461626c65285468726561642a292b31323238290a20202330372020706320303030326531653420202f73797374656d2f6c69622f6c696264766d2e736f202864", "id": "1549283918" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "1463127975" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "300a20207c207379735469643d333433206e6963653d2d382073636865643d302f3020636772703d617070732068616e646c653d2d313230383538323132300a20207c207363686564737461743d28203230303030303030203137303030303030302039", "id": "1463127975" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "119882515" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "6d2f6c69622f6c696264766d2e736f202864766d43616c6c4a4e494d6574686f6428756e7369676e656420696e7420636f6e73742a2c204a56616c75652a2c204d6574686f6420636f6e73742a2c205468726561642a292b343132290a20202330362020", "id": "119882515" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "1666348952" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "28756e7369676e656420696e7420636f6e73742a2c204a56616c75652a2c204d6574686f6420636f6e73742a2c205468726561642a292b38290a20202330352020706320303030333130323420202f73797374656d2f6c69622f6c696264766d2e736f20", "id": "1666348952" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "539176643" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "313732290a202061742064616c76696b2e73797374656d2e4e617469766553746172742e72756e284e6174697665204d6574686f64290a0a2246696e616c697a65725761746368646f674461656d6f6e22206461656d6f6e207072696f3d35207469643d", "id": "539176643" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "811203930" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "6c696264766d2e736f202864766d43616c6c4d6574686f64285468726561642a2c204d6574686f6420636f6e73742a2c204f626a6563742a2c204a56616c75652a2c202e2e2e292b3230290a20202331312020706320303030353834623920202f737973", "id": "811203930" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "1618397065" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "686f64290a0a2242696e6465725f3622207072696f3d35207469643d3234204e41544956450a20207c2067726f75703d226d61696e222073436f756e743d31206473436f756e743d30206f626a3d307862336630653333302073656c663d307862383031", "id": "1618397065" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "320536233" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "53746172742e72756e284e6174697665204d6574686f64290a0a224173796e635461736b20233122207072696f3d35207469643d313720574149540a20207c2067726f75703d226d61696e222073436f756e743d31206473436f756e743d30206f626a3d", "id": "320536233" } }
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "141457164" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "74686f6420636f6e73742a2c204f626a6563742a2c20626f6f6c2c204a56616c75652a2c207374643a3a5f5f76615f6c697374292b343230290a20202331302020706320303030363339663920202f73797374656d2f6c69622f6c696264766d2e736f20", "id": "141457164" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "2046993427" } }
E/WVMExtractor(   63): Failed to open libwvm.so
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "32382073656c663d307862376664393463380a20207c207379735469643d353137206e6963653d302073636865643d302f3020636772703d617070732068616e646c653d2d313230393238323435360a20207c207363686564737461743d282035303030", "id": "2046993427" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "1874961310" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "743d30206f626a3d307862336533636631382073656c663d307862376636323733300a20207c207379735469643d31303430206e6963653d302073636865643d302f3020636772703d617070732068616e646c653d2d313230383036383236340a20207c", "id": "1874961310" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "1934421912" } }
W/DroidBox( 1005): DroidBox: { "FileRW": { "operation": "read", "data": "2f6c696264766d2e736f0a20202331362020706320303030343438633520202f73797374656d2f6c69622f6c6962616e64726f69645f72756e74696d652e736f0a20202331372020706320303030343533613720202f73797374656d2f6c69622f6c6962", "id": "1934421912" } }
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm( 1005): DroidBox: { "FdAccess": { "path": "706970653a5b353139375d", "id": "1395759702" } }
