E/Trace   (  963): error opening trace file: No such file or directory (2)
I/ARMAssembler(   59): generated scanline__00000077:03010104_00008002_00000000 [ 89 ipp] (110 ins) at [0xb5dcb710:0xb5dcb8c8] in 0 ns
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f6b657973746f7265002f646174612f6d6973632f6b657973746f72650000696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1863617305" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f36362f636d646c696e65", "id": "261835299" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f73680073746f7265002f646174612f6d6973632f6b657973746f72650000696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "261835299" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f36372f636d646c696e65", "id": "465565040" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f61646264002f73680073746f7265002f646174612f6d6973632f6b657973746f72650000696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "465565040" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3232312f636d646c696e65", "id": "1183726676" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f61646264002f73680073746f7265002f646174612f6d6973632f6b657973746f72650000696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1183726676" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3232372f636d646c696e65", "id": "2020916975" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "73797374656d5f736572766572000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2020916975" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3432332f636d646c696e65", "id": "1209263387" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e73797374656d75690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1209263387" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3437362f636d646c696e65", "id": "1533092370" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e696e7075746d6574686f642e6c6174696e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1533092370" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3439342f636d646c696e65", "id": "457896826" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e70686f6e650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "457896826" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3530392f636d646c696e65", "id": "1178669337" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e73657474696e67730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1178669337" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3534322f636d646c696e65", "id": "205630787" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "616e64726f69642e70726f636573732e61636f726500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "205630787" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3536342f636d646c696e65", "id": "387964477" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e736d7370757368000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "387964477" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3538332f636d646c696e65", "id": "847309823" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e70726f766973696f6e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "847309823" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3630362f636d646c696e65", "id": "1958377934" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e63616c656e6461720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1958377934" } }
W/DroidBox( 1008): DroidBox: { "DexClassLoader": { "path": "/system/app/MusicFX.apk" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3632332f636d646c696e65", "id": "353634563" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6c61756e636865720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "353634563" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3635322f636d646c696e65", "id": "1657378918" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6465736b636c6f636b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1657378918" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3637352f636d646c696e65", "id": "1433897588" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e70726f7669646572732e63616c656e64617200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1433897588" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3638362f636d646c696e65", "id": "842587688" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e636f6e74616374730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "842587688" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3737352f636d646c696e65", "id": "985897912" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "616e64726f69642e70726f636573732e6d6564696100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "985897912" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3831332f636d646c696e65", "id": "1733049371" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e656d61696c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1733049371" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3833312f636d646c696e65", "id": "685701049" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e65786368616e67650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "685701049" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3834372f636d646c696e65", "id": "301065904" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e646566636f6e7461696e657200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "301065904" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3836312f636d646c696e65", "id": "651999486" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e67616c6c657279336400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "651999486" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3838332f636d646c696e65", "id": "448891528" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6d6d7300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "448891528" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3931312f636d646c696e65", "id": "593050257" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e766f6963656469616c65720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "593050257" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3934332f636d646c696e65", "id": "333038203" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e636f6d6d616e64732e6d6f6e6b657900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "333038203" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3934352f636d646c696e65", "id": "157352648" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "6c6f676361740044726f6964426f783a570064616c76696b766d3a570041637469766974794d616e616765723a49000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "157352648" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3934372f636d646c696e65", "id": "1289676644" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f7368002d63007368202e2f7364636172642f65786563757465537472616365496e2e736800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1289676644" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3934392f636d646c696e65", "id": "742802174" } }
D/NetTraffic(  963): Starting service at: 2025-02-01 00:11:18
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "7368002e2f7364636172642f65786563757465537472616365496e2e736800786563757465537472616365496e2e736800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "742802174" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3935302f636d646c696e65", "id": "937252627" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "737472616365002d70003630002d66002d747446002d6f002f7364636172642f366464363635666562643730653761303461326361613662326232343437336332313132316531383562623734303462663137383263323738383035313863362e61706b", "id": "937252627" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3936332f636d646c696e65", "id": "229092233" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "6f72672e6e657472616666696300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034303462663137383263323738383035313863362e61706b", "id": "229092233" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3938362f636d646c696e65", "id": "372502674" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e717569636b736561726368626f78000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034303462663137383263323738383035313863362e61706b", "id": "372502674" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f313030382f636d646c696e65", "id": "1283503439" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6d75736963667800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034303462663137383263323738383035313863362e61706b", "id": "1283503439" } }
W/DroidBox( 1008): DroidBox: { "ServiceStart": { "name": "com.android.musicfx.Compatibility$Service" } }
W/DroidBox( 1008): DroidBox: { "ServiceStart": { "name": "com.android.musicfx.Compatibility$Service" } }
I/ActivityManager(  227): Start proc com.svox.pico for broadcast com.svox.pico/.VoiceDataInstallerReceiver: pid=1021 uid=10030 gids={1015, 1028}
I/InputReader(  227): Reconfiguring input devices.  changes=0x00000010
I/Choreographer(  963): Skipped 1085 frames!  The application may be doing too much work on its main thread.
I/Launcher(  623): setLoadOnResume
E/WVMExtractor(   62): Failed to open libwvm.so
I/AccountTypeManager(  686): Loaded meta-data for 1 account types, 0 accounts in 127ms(wall) 0ms(cpu)
D/PackageManager(  227): generateServicesMap(android.accounts.AccountAuthenticator): 2 services unchanged
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f313032312f636d646c696e65", "id": "46065255" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "7a79676f7465002f62696e2f6170705f70726f63657373002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d7365727665720034303462663137383263323738383035313863362e61706b", "id": "46065255" } }
I/Process (  227): Sending signal. PID: 623 SIG: 3
I/Process (  227): Sending signal. PID: 686 SIG: 3
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f313030382f636d646c696e65", "id": "940079758" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6d75736963667800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034303462663137383263323738383035313863362e61706b", "id": "940079758" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f313032312f636d646c696e65", "id": "1546147053" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "7a79676f7465002f62696e2f6170705f70726f63657373002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d7365727665720034303462663137383263323738383035313863362e61706b", "id": "1546147053" } }
I/Process (  227): Sending signal. PID: 775 SIG: 3
E/ActivityManager(  227): ANR in org.netraffic (org.netraffic/org.jiaxxhaha.netraffic.TrafficActivity)
E/ActivityManager(  227): Reason: keyDispatchingTimedOut
E/ActivityManager(  227): Load: 11.63 / 3.33 / 1.15
E/ActivityManager(  227): CPU usage from 885ms to -4575ms ago:
E/ActivityManager(  227):   33% 227/system_server: 27% user + 6.1% kernel / faults: 1839 minor 2 major
E/ActivityManager(  227):   29% 950/strace: 8.2% user + 21% kernel / faults: 2 minor
E/ActivityManager(  227):   11% 67/adbd: 0.1% user + 10% kernel / faults: 832 minor
E/ActivityManager(  227):   6.4% 945/logcat: 0.5% user + 5.9% kernel
E/ActivityManager(  227):   6.4% 963/org.netraffic: 3.4% user + 2.9% kernel / faults: 707 minor 1 major
E/ActivityManager(  227):   4.3% 62/mediaserver: 0.3% user + 3.9% kernel / faults: 1 minor
E/ActivityManager(  227):   1% 861/com.android.gallery3d: 0.8% user + 0.1% kernel / faults: 33 minor
E/ActivityManager(  227):   0.8% 423/com.android.systemui: 0.5% user + 0.3% kernel / faults: 83 minor
E/ActivityManager(  227):   0.8% 542/android.process.acore: 0.8% user + 0% kernel / faults: 1 minor
E/ActivityManager(  227):   0.7% 494/com.android.phone: 0% user + 0.7% kernel / faults: 159 minor
E/ActivityManager(  227):   0.7% 623/com.android.launcher: 0.7% user + 0% kernel / faults: 74 minor
E/ActivityManager(  227):   0.3% 60/zygote: 0% user + 0.3% kernel / faults: 134 minor
E/ActivityManager(  227):   0.3% 686/com.android.contacts: 0.3% user + 0% kernel / faults: 185 minor
E/ActivityManager(  227):   0% 11/kworker/0:1: 0% user + 0% kernel
E/ActivityManager(  227):   0.1% 26/mtdblock1: 0% user + 0.1% kernel
E/ActivityManager(  227):   0.1% 59/surfaceflinger: 0.1% user + 0% kernel
E/ActivityManager(  227):   0.1% 775/android.process.media: 0% user + 0.1% kernel / faults: 119 minor
E/ActivityManager(  227):   0.1% 911/com.android.voicedialer: 0.1% user + 0% kernel / faults: 10 minor
E/ActivityManager(  227):  +0% 1008/com.android.musicfx: 0% user + 0% kernel
E/ActivityManager(  227):  +0% 1021/zygote: 0% user + 0% kernel
E/ActivityManager(  227): 100% TOTAL: 47% user + 52% kernel + 0.4% softirq
E/ActivityManager(  227): CPU usage from 3576ms to 4176ms later:
E/ActivityManager(  227):   39% 950/strace: 8.6% user + 30% kernel
E/ActivityManager(  227):   20% 227/system_server: 11% user + 8.4% kernel / faults: 416 minor
E/ActivityManager(  227):     6.7% 336/InputDispatcher: 3.3% user + 3.3% kernel
E/ActivityManager(  227):     5% 322/PackageMonitor: 0% user + 5% kernel
E/ActivityManager(  227):     3.3% 240/er.ServerThread: 1.6% user + 1.6% kernel
E/ActivityManager(  227):     3.3% 622/Binder_A: 3.3% user + 0% kernel
E/ActivityManager(  227):     1.6% 529/Binder_4: 1.6% user + 0% kernel
E/ActivityManager(  227):   11% 62/mediaserver: 1.6% user + 10% kernel
E/ActivityManager(  227):     11% 62/mediaserver: 3.3% user + 8.4% kernel
E/ActivityManager(  227):   8.4% 67/adbd: 0% user + 8.4% kernel / faults: 82 minor
E/ActivityManager(  227):     5% 223/adbd: 0% user + 5% kernel
E/ActivityManager(  227):     3.3% 222/adbd: 0% user + 3.3% kernel
E/ActivityManager(  227):   5.7% 945/logcat: 0% user + 5.7% kernel
E/ActivityManager(  227):   4.3% 963/org.netraffic: 4.3% user + 0% kernel / faults: 99 minor
E/ActivityManager(  227):     2.8% 967/GC: 2.8% user + 0% kernel
E/ActivityManager(  227):     1.4% 963/org.netraffic: 0% user + 1.4% kernel
E/ActivityManager(  227):   1.1% 623/com.android.launcher: 1.1% user + 0% kernel / faults: 9 minor
E/ActivityManager(  227):     0.5% 623/ndroid.launcher: 0.5% user + 0% kernel
E/ActivityManager(  227):     0.5% 634/Binder_2: 0.5% user + 0% kernel
E/ActivityManager(  227):   0.4% 60/zygote: 0% user + 0.4% kernel / faults: 67 minor
E/ActivityManager(  227):     0.4% 60/zygote: 0.4% user + 0% kernel
E/ActivityManager(  227):    +0% 1022/ReferenceQueueD: 0% user + 0% kernel
E/ActivityManager(  227):    +0% 1023/FinalizerDaemon: 0% user + 0% kernel
E/ActivityManager(  227):    +0% 1024/FinalizerWatchd: 0% user + 0% kernel
E/ActivityManager(  227):   0.6% 686/com.android.contacts: 0.6% user + 0% kernel / faults: 94 minor
E/ActivityManager(  227):     0.6% 690/GC: 0.6% user + 0% kernel
E/ActivityManager(  227):   0.6% 775/android.process.media: 0% user + 0.6% kernel / faults: 91 minor
E/ActivityManager(  227):     0.6% 779/GC: 0% user + 0.6% kernel
E/ActivityManager(  227):  +0% 1021/zygote: 0% user + 0% kernel
E/ActivityManager(  227): 100% TOTAL: 37% user + 62% kernel
I/InputDispatcher(  227): Dropped event because it is stale.
W/InputManager(  227): Input event injection from pid 943 failed.
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f646174612f616e722f7472616365732e747874", "id": "2013758753" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "0a0a2d2d2d2d2d207069642032323720617420323032352d30322d30312030303a31313a3138202d2d2d2d2d0a436d64206c696e653a2073797374656d5f7365727665720a0a44414c56494b20544852454144533a0a286d7574657865733a20746c6c3d", "id": "2013758753" } }
D/PackageManager(  227): generateServicesMap(android.content.SyncAdapter): 4 services unchanged
E/Trace   ( 1021): error opening trace file: No such file or directory (2)
I/dalvikvm-heap(  227): Grow heap (frag case) to 12.502MB for 174776-byte allocation
I/Choreographer(  963): Skipped 698 frames!  The application may be doing too much work on its main thread.
W/ActivityManager(  227): Launch timeout has expired, giving up wake lock!
W/ActivityManager(  227): Activity idle timeout for ActivityRecord{b42f6cb8 org.netraffic/org.jiaxxhaha.netraffic.TrafficActivity}
V/PhoneStatusBar(  423): setLightsOn(true)
D/gralloc_goldfish(  963): Emulator without GPU emulation detected.
I/dalvikvm-heap(  227): Grow heap (frag case) to 12.390MB for 262160-byte allocation
I/dalvikvm-heap(  227): Grow heap (frag case) to 12.765MB for 393236-byte allocation
W/DroidBox( 1021): DroidBox: { "DexClassLoader": { "path": "/system/app/PicoTts.apk" } }
I/ActivityManager(  227): Displayed org.netraffic/org.jiaxxhaha.netraffic.TrafficActivity: +14s153ms
I/ActivityThread( 1021): Pub com.svox.pico.providers.SettingsProvider: com.svox.pico.providers.SettingsProvider
I/Choreographer(  963): Skipped 137 frames!  The application may be doing too much work on its main thread.
W/dalvikvm(  861): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "356096095" } }
W/DroidBox(  861): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2237", "id": "356096095" } }
E/WVMExtractor(   62): Failed to open libwvm.so
I/Choreographer(  623): Skipped 73 frames!  The application may be doing too much work on its main thread.
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm( 1008): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e6d7573696366782f7368617265645f70726566732f6d7573696366782e786d6c", "id": "655090536" } }
W/DroidBox( 1008): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d2264656661756c7470616e656c7061636b616765223e636f", "id": "655090536" } }
I/ActivityManager(  227): No longer want com.android.provision (pid 583): hidden #16
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f313033342f636d646c696e65", "id": "1093963345" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "70726f6372616e6b00696e2f6170705f70726f63657373002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d7365727665720034303462663137383263323738383035313863362e61706b", "id": "1093963345" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b343934375d", "id": "1651881361" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "20205049442020202020205673732020202020205273732020202020205073732020202020205573732020636d646c696e650a202032323720202036363539364b20202036363536344b20202032393134394b20202032333238384b202073797374656d", "id": "1651881361" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b343934375d", "id": "65723386" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "65723386" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
D/PackageManager(  227): generateServicesMap(android.accounts.AccountAuthenticator): 2 services unchanged
D/PackageManager(  227): generateServicesMap(android.content.SyncAdapter): 4 services unchanged
I/InputReader(  227): Reconfiguring input devices.  changes=0x00000010
I/AccountTypeManager(  686): Loaded meta-data for 1 account types, 0 accounts in 38ms(wall) 20ms(cpu)
W/dalvikvm(  861): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "974749613" } }
W/DroidBox(  861): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2238", "id": "974749613" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "206434627" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "0a0a2d2d2d2d2d207069642032323720617420323032352d30322d30312030303a31313a3138202d2d2d2d2d0a436d64206c696e653a2073797374656d5f7365727665720a0a44414c56494b20544852454144533a0a286d7574657865733a20746c6c3d", "id": "206434627" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "40904930" } }
