I/ActivityThread(  924): Pub com.android.mms.SuggestionsProvider: com.android.mms.SuggestionsProvider
D/PackageManager(  228): generateServicesMap(android.accounts.AccountAuthenticator): 2 services unchanged
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3530372f636d646c696e65", "id": "260181309" } }
I/InputReader(  228): Reconfiguring input devices.  changes=0x00000010
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e73657474696e67730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "260181309" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3534362f636d646c696e65", "id": "411619897" } }
I/InputReader(  228): Reconfiguring input devices.  changes=0x00000010
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e736d7370757368000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "411619897" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3536302f636d646c696e65", "id": "687268024" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "616e64726f69642e70726f636573732e61636f726500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "687268024" } }
D/PackageManager(  228): generateServicesMap(android.content.SyncAdapter): 4 services unchanged
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3936362f636d646c696e65", "id": "163542787" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3538302f636d646c696e65", "id": "1844573529" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e70726f766973696f6e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1844573529" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e766f6963656469616c6572000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "163542787" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3539352f636d646c696e65", "id": "1339143015" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e63616c656e6461720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1339143015" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3632382f636d646c696e65", "id": "707408729" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6c61756e636865720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "707408729" } }
D/PackageManager(  228): generateServicesMap(android.accounts.AccountAuthenticator): 2 services unchanged
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3633382f636d646c696e65", "id": "1451017708" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6465736b636c6f636b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1451017708" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3637322f636d646c696e65", "id": "528742087" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e70726f7669646572732e63616c656e64617200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "528742087" } }
D/PackageManager(  228): generateServicesMap(android.content.SyncAdapter): 4 services unchanged
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3639372f636d646c696e65", "id": "1229193869" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e636f6e74616374730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1229193869" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3738322f636d646c696e65", "id": "75449972" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "616e64726f69642e70726f636573732e6d6564696100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "75449972" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3831382f636d646c696e65", "id": "1958519682" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e646566636f6e7461696e657200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1958519682" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3834342f636d646c696e65", "id": "515031948" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e656d61696c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "515031948" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3836302f636d646c696e65", "id": "276390411" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e65786368616e67650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "276390411" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3838322f636d646c696e65", "id": "533261032" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e67616c6c657279336400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "533261032" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3839342f636d646c696e65", "id": "319056102" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e636f6d6d616e64732e6d6f6e6b657900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "319056102" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3839362f636d646c696e65", "id": "928078505" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "6c6f676361740044726f6964426f783a570064616c76696b766d3a570041637469766974794d616e616765723a49000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "928078505" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3839382f636d646c696e65", "id": "1579040702" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f7368002d63007368202e2f7364636172642f65786563757465537472616365496e2e736800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1579040702" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3930302f636d646c696e65", "id": "1038901363" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "7368002e2f7364636172642f65786563757465537472616365496e2e736800786563757465537472616365496e2e736800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1038901363" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3930322f636d646c696e65", "id": "1208199445" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "737472616365002d70003630002d66002d747446002d6f002f7364636172642f336639643564386461356362326634383766633963656130376264373338326162323139646364366462646332356564623937376165656334386361313931312e61706b", "id": "1208199445" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3932342f636d646c696e65", "id": "1643454219" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6d6d730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "1643454219" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3933362f636d646c696e65", "id": "118959283" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e657874656e642e626174746572790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "118959283" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3936362f636d646c696e65", "id": "302256916" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e766f6963656469616c6572000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "302256916" } }
I/Launcher(  628): setLoadOnResume
W/ActivityManager(  228): Launch timeout has expired, giving up wake lock!
I/Launcher(  628): setLoadOnResume
D/Splash  (  936): !!!device_id=46F96E7922E2FD7C564113B28DBAC21E
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e657874656e642e626174746572792f7368617265645f70726566732f6c6f63616c79746963732e786d6c", "id": "1169321443" } }
W/DroidBox(  936): DroidBox: { "DataLeak": { "sink": "File", "operation": "write", "tag": "0x400", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d226465766963655f6964223e343646393645373932324532", "id": "1169321443" } }
I/Process (  228): Sending signal. PID: 628 SIG: 3
D/gralloc_goldfish(  936): Emulator without GPU emulation detected.
I/Process (  228): Sending signal. PID: 507 SIG: 3
I/ActivityManager(  228): Displayed com.extend.battery/.Splash: +10s860ms
I/Process (  228): Sending signal. PID: 782 SIG: 3
W/ActivityManager(  228): Activity idle timeout for ActivityRecord{b3eb7be8 com.extend.battery/.Splash}
I/Process (  228): Sending signal. PID: 560 SIG: 3
E/ActivityManager(  228): ANR in com.extend.battery (com.extend.battery/.Splash)
E/ActivityManager(  228): Reason: keyDispatchingTimedOut
E/ActivityManager(  228): Load: 8.01 / 2.33 / 0.81
E/ActivityManager(  228): CPU usage from 2512ms to -2731ms ago:
E/ActivityManager(  228):   31% 902/strace: 7.7% user + 23% kernel
E/ActivityManager(  228):   29% 228/system_server: 23% user + 5.9% kernel / faults: 831 minor 2 major
E/ActivityManager(  228):   9.6% 560/android.process.acore: 7.3% user + 2.3% kernel / faults: 3183 minor
E/ActivityManager(  228):   6.7% 67/adbd: 0.1% user + 6.5% kernel / faults: 748 minor
E/ActivityManager(  228):   4.4% 782/android.process.media: 4% user + 0.3% kernel / faults: 143 minor
E/ActivityManager(  228):   4.1% 936/com.extend.battery: 0.7% user + 3.3% kernel / faults: 1008 minor 7 major
E/ActivityManager(  228):   3.8% 487/com.android.phone: 2.8% user + 0.9% kernel / faults: 158 minor
E/ActivityManager(  228):   2.7% 896/logcat: 2.1% user + 0.5% kernel
E/ActivityManager(  228):   0.9% 422/com.android.systemui: 0.5% user + 0.3% kernel / faults: 87 minor
E/ActivityManager(  228):   0.9% 844/com.android.email: 0.9% user + 0% kernel / faults: 200 minor
E/ActivityManager(  228):   0.9% 882/com.android.gallery3d: 0.7% user + 0.1% kernel / faults: 104 minor
E/ActivityManager(  228):   0.9% 924/com.android.mms: 0.5% user + 0.3% kernel / faults: 49 minor
E/ActivityManager(  228):   0.3% 25/mtdblock0: 0% user + 0.3% kernel
E/ActivityManager(  228):   0.3% 62/mediaserver: 0.3% user + 0% kernel
E/ActivityManager(  228):   0% 7/sync_supers: 0% user + 0% kernel
E/ActivityManager(  228):   0.1% 59/surfaceflinger: 0% user + 0.1% kernel
E/ActivityManager(  228):   0.1% 628/com.android.launcher: 0.1% user + 0% kernel
E/ActivityManager(  228):  +0% 966/com.android.voicedialer: 0% user + 0% kernel
E/ActivityManager(  228): 100% TOTAL: 53% user + 46% kernel
E/ActivityManager(  228): CPU usage from 3579ms to 4144ms later:
E/ActivityManager(  228):   25% 228/system_server: 15% user + 10% kernel / faults: 260 minor
E/ActivityManager(  228):     10% 336/InputDispatcher: 5% user + 5% kernel
E/ActivityManager(  228):     3.3% 322/PackageMonitor: 1.6% user + 1.6% kernel
E/ActivityManager(  228):     3.3% 464/Binder_3: 0% user + 3.3% kernel
E/ActivityManager(  228):     3.3% 594/Binder_9: 3.3% user + 0% kernel
E/ActivityManager(  228):     1.6% 239/Binder_2: 1.6% user + 0% kernel
E/ActivityManager(  228):     1.6% 368/backup: 1.6% user + 0% kernel
E/ActivityManager(  228):     1.6% 592/Binder_7: 1.6% user + 0% kernel
E/ActivityManager(  228):    +0% 993/Error dump: sys: 0% user + 0% kernel
E/ActivityManager(  228):   8.6% 628/com.android.launcher: 5.7% user + 2.8% kernel / faults: 499 minor
E/ActivityManager(  228):     5.7% 665/launcher-loader: 3.5% user + 2.1% kernel
E/ActivityManager(  228):     2.8% 628/ndroid.launcher: 2.1% user + 0.7% kernel
E/ActivityManager(  228):   16% 902/strace: 6.1% user + 10% kernel
E/ActivityManager(  228):   8.3% 67/adbd: 0% user + 8.3% kernel / faults: 44 minor
E/ActivityManager(  228):     6.6% 223/adbd: 0% user + 6.6% kernel
E/ActivityManager(  228):     1.6% 67/adbd: 0% user + 1.6% kernel
E/ActivityManager(  228):   6.7% 59/surfaceflinger: 6.7% user + 0% kernel
E/ActivityManager(  228):     5% 92/SurfaceFlinger: 5% user + 0% kernel
E/ActivityManager(  228):     1.6% 97/VSyncThread: 0% user + 1.6% kernel
E/ActivityManager(  228):   1.8% 507/com.android.settings: 1.8% user + 0% kernel / faults: 53 minor 1 major
E/ActivityManager(  228):     1.8% 507/ndroid.settings: 1.8% user + 0% kernel
E/ActivityManager(  228):   2.5% 782/android.process.media: 2.5% user + 0% kernel / faults: 5 minor
E/ActivityManager(  228):     2.5% 923/MediaScannerSer: 2.5% user + 0% kernel
E/ActivityManager(  228):   3.4% 936/com.extend.battery: 1.1% user + 2.2% kernel / faults: 75 minor
E/ActivityManager(  228):     2.2% 973/l: 0% user + 2.2% kernel
E/ActivityManager(  228):     1.1% 936/.extend.battery: 1.1% user + 0% kernel
E/ActivityManager(  228):    +0% 995/Thread-91: 0% user + 0% kernel
E/ActivityManager(  228):   0.9% 58/rild: 0.9% user + 0% kernel
E/ActivityManager(  228):     0.9% 86/rild: 0.9% user + 0% kernel
E/ActivityManager(  228):   1% 487/com.android.phone: 1% user + 0% kernel / faults: 3 minor
E/ActivityManager(  228):     1% 990/Binder_5: 1% user + 0% kernel
E/ActivityManager(  228):   3% 560/android.process.acore: 3% user + 0% kernel / faults: 2 minor
E/ActivityManager(  228):     3% 622/ContactsProvide: 3% user + 0% kernel
E/ActivityManager(  228):   3% 896/logcat: 1.5% user + 1.5% kernel
E/ActivityManager(  228): 100% TOTAL: 63% user + 36% kernel
I/InputDispatcher(  228): Dropped event because it is stale.
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f646174612f616e722f7472616365732e747874", "id": "892821333" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "0a0a2d2d2d2d2d207069642032323820617420323032342d31302d30332031393a34363a3530202d2d2d2d2d0a436d64206c696e653a2073797374656d5f7365727665720a0a44414c56494b20544852454144533a0a286d7574657865733a20746c6c3d", "id": "892821333" } }
W/InputManager(  228): Input event injection from pid 894 failed.
I/AccountTypeManager(  697): Loaded meta-data for 1 account types, 0 accounts in 114ms(wall) 10ms(cpu)
I/AccountTypeManager(  697): Loaded meta-data for 1 account types, 0 accounts in 9ms(wall) 0ms(cpu)
W/DroidBox(  782): DroidBox: { "ServiceStart": { "name": "com.android.providers.downloads.DownloadService" } }
W/DroidBox(  782): DroidBox: { "ServiceStart": { "name": "com.android.providers.downloads.DownloadService" } }
W/ActivityManager(  228): Permission denied: checkComponentPermission() owningUid=1000
W/BroadcastQueue(  228): Permission Denial: broadcasting Intent { act=android.appwidget.action.APPWIDGET_UPDATE_OPTIONS flg=0x10 cmp=com.android.settings/.widget.SettingsAppWidgetProvider (has extras) } from android (pid=628, uid=10019) is not exported from uid 1000 due to receiver com.android.settings/com.android.settings.widget.SettingsAppWidgetProvider
D/AlertReceiver(  595): onReceive: a=android.intent.action.PROVIDER_CHANGED Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://com.android.calendar flg=0x10 cmp=com.android.calendar/.alerts.AlertReceiver }
W/DroidBox(  595): DroidBox: { "ServiceStart": { "name": "com.android.calendar.alerts.AlertService" } }
W/DroidBox(  595): DroidBox: { "ServiceStart": { "name": "com.android.calendar.alerts.AlertService" } }
D/AlertService(  595): 0 Action = android.intent.action.PROVIDER_CHANGED
D/AlertService(  595): Beginning updateAlertNotification
W/DroidBox(  672): DroidBox: { "ServiceStart": { "name": "com.android.providers.calendar.CalendarProviderIntentService" } }
W/DroidBox(  672): DroidBox: { "ServiceStart": { "name": "com.android.providers.calendar.CalendarProviderIntentService" } }
W/dalvikvm(  882): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "160070952" } }
W/DroidBox(  882): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2234", "id": "160070952" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3939372f636d646c696e65", "id": "357924545" } }
I/ActivityManager(  228): Start proc com.android.musicfx for broadcast com.android.musicfx/.Compatibility$Receiver: pid=1011 uid=10025 gids={3003, 3002, 1028}
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e657874656e642e626174746572790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "357924545" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f313030342f636d646c696e65", "id": "1243775737" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "70726f6372616e6b00642e626174746572790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "1243775737" } }
I/Choreographer(  628): Skipped 542 frames!  The application may be doing too much work on its main thread.
E/Trace   ( 1011): error opening trace file: No such file or directory (2)
I/ContactsDatabaseHelper(  560): Locale change completed in 14435ms
I/ContactsDatabaseHelper(  560): Switching to locale en_US
D/AlertService(  595): No fired or scheduled alerts
W/DroidBox( 1011): DroidBox: { "DexClassLoader": { "path": "/system/app/MusicFX.apk" } }
E/SQLiteLog(  782): (1) no such table: files
W/DroidBox( 1011): DroidBox: { "ServiceStart": { "name": "com.android.musicfx.Compatibility$Service" } }
W/DroidBox( 1011): DroidBox: { "ServiceStart": { "name": "com.android.musicfx.Compatibility$Service" } }
I/ActivityManager(  228): Start proc com.svox.pico for broadcast com.svox.pico/.VoiceDataInstallerReceiver: pid=1023 uid=10030 gids={1015, 1028}
E/WVMExtractor(   62): Failed to open libwvm.so
I/InputReader(  228): Reconfiguring input devices.  changes=0x00000010
D/PackageManager(  228): generateServicesMap(android.accounts.AccountAuthenticator): 2 services unchanged
E/WVMExtractor(   62): Failed to open libwvm.so
E/Trace   ( 1023): error opening trace file: No such file or directory (2)
D/PackageManager(  228): generateServicesMap(android.content.SyncAdapter): 4 services unchanged
W/DroidBox( 1023): DroidBox: { "DexClassLoader": { "path": "/system/app/PicoTts.apk" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f313031312f636d646c696e65", "id": "2024243999" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6d75736963667800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "2024243999" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f313032332f636d646c696e65", "id": "1217518303" } }
I/ActivityThread( 1023): Pub com.svox.pico.providers.SettingsProvider: com.svox.pico.providers.SettingsProvider
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e73766f782e7069636f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "1217518303" } }
I/AccountTypeManager(  697): Loaded meta-data for 1 account types, 0 accounts in 1385ms(wall) 0ms(cpu)
I/ActivityManager(  228): Start proc com.android.quicksearchbox for broadcast com.android.quicksearchbox/.CorporaUpdateReceiver: pid=1038 uid=10033 gids={3003, 1028}
I/Launcher(  628): setLoadOnResume
I/ContactsDatabaseHelper(  560): Locale change completed in 6554ms
E/Trace   ( 1038): error opening trace file: No such file or directory (2)
I/ContactsProvider(  560): Upgrading aggregation algorithm
W/dalvikvm(  560): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e70726f7669646572732e636f6e74616374732f7368617265645f70726566732f636f6d2e616e64726f69642e70726f7669646572732e636f6e74616374735f707265666572656e6365732e786d6c", "id": "510515118" } }
W/DroidBox(  560): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d226c6f63616c65223e656e5f55533c2f737472696e673e0a", "id": "510515118" } }
I/ContactAggregator(  560): Marked all visible contacts for aggregation: 0 raw contacts, 4 ms
W/DroidBox( 1038): DroidBox: { "DexClassLoader": { "path": "/system/app/QuickSearchBox.apk" } }
I/ContactsProvider(  560): Aggregation algorithm upgraded for 0 raw contacts in 632ms
W/dalvikvm( 1011): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e6d7573696366782f7368617265645f70726566732f6d7573696366782e786d6c", "id": "2103173257" } }
W/DroidBox( 1011): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d2264656661756c7470616e656c7061636b616765223e636f", "id": "2103173257" } }
E/WVMExtractor(   62): Failed to open libwvm.so
I/ContactsFTS(  560): Rebuild contact search index in 267ms, 0 contacts
D/Eas Debug(  860): Logging: 
I/Email   (  844): Onetime initialization: completed.
W/dalvikvm(  844): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e656d61696c2f7368617265645f70726566732f416e64726f69644d61696c2e4d61696e2e786d6c", "id": "1416229003" } }
D/ExchangeService(  860): !!! EAS ExchangeService, onStartCommand, startingUp = true, running = false
W/DroidBox(  844): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d226f6e6554696d65496e697469616c697a6174696f6e50726f6772", "id": "1416229003" } }
I/ActivityThread( 1038): Pub com.android.quicksearchbox.google: com.android.quicksearchbox.google.GoogleSuggestionProvider
I/ActivityThread( 1038): Pub com.android.quicksearchbox.shortcuts: com.android.quicksearchbox.ShortcutsProvider
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  882): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "1727857770" } }
W/DroidBox(  882): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2235", "id": "1727857770" } }
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "706970653a5b343637305d", "id": "1141676229" } }
W/DroidBox(  936): DroidBox: { "FileRW": { "operation": "read", "data": "00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1141676229" } }
W/dalvikvm(  882): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "2049465897" } }
W/DroidBox(  882): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2236", "id": "2049465897" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  882): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "2129722701" } }
W/DroidBox(  882): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2237", "id": "2129722701" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/BackupManagerService(  228): dataChanged but no participant pkg='com.android.providers.settings' uid=10011
E/MetadataRetrieverClient(   62): failed to extract an album art
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b343738395d", "id": "1971856114" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "20205049442020202020205673732020202020205273732020202020205073732020202020205573732020636d646c696e650a202036323820202036333334344b20202036333235324b20202032383237384b20202032323535364b2020636f6d2e616e", "id": "1971856114" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f313033382f636d646c696e65", "id": "1068077390" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e717569636b736561726368626f78000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "1068077390" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f313035342f636d646c696e65", "id": "1437907356" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e657874656e642e626174746572790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "1437907356" } }
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b343738395d", "id": "1372009098" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1372009098" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
